OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,FDID,FRST_MBRS,EMS_MBRS,TOTALPERS,NUMTRKS,NUMABUL,TOTAL_VEHI,NBR_STA,OWNER,LEVEL,TYPE,SPECIALTY,EMSLICENSE,EMERPHONE,EMS,PERM_ID,GNIS_ID,GlobalID,x2,y2
581,10462081,UNCLASSIFIED,COQUILLE FIRE AND RESCUE,541-396-2232,89 WEST 3RD STREET, ,COQUILLE,OR,97423,1266,COOS,41011,ON THE SE CORNER OF THE INTERSECTION OF W 3RD ST AND N ALDER ST.,A G M & M INC.,541-396-4343, ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,86784925,-124.1897249,43.1766624,NAVTEQ,2007Q2,ONENTITY,YES,TGS,COOS_FIR01A,00072,0,0,47,0,0,0,3,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,63f676d0-a3c7-4dab-aa4c-93c280798a29,-13824738.8895,5338900.928
582,10462080,UNCLASSIFIED,COOS BAY FIRE DEPARTMENT - EMPIRE STATION,541-888-2116,189 SOUTH WALL STREET, ,COOS BAY,OR,97420,3232,COOS,41011,ON THE NE CORNER OF THE INTERSECTION OF S WALL ST AND MICHIGAN AVE., , , ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86756794,-124.2753553,43.3911333,NAVTEQ,2007Q2,ONENTITY,YES,TGS,COOS_FIR02A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,79f89a20-225a-4510-8f0b-7b0d7714feeb,-13834271.2256,5371697.5791
583,10462079,UNCLASSIFIED,COOS BAY FIRE DEPARTMENT - CENTRAL STATION 1,541-269-1191,150 SOUTH 4TH STREET, ,COOS BAY,OR,97420,1656,COOS,41011,ON THE NE CORNER OF THE INTERSECTION OF S 4TH ST AND ANDERSON AVE., , , ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86761463,-124.21571,43.3674672,NAVTEQ,2007Q2,ONENTITY,YES,TGS,COOS_FIR03A,00069,0,0,50,0,0,0,3,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,acdbecba-e8c8-4406-aec7-31bda2c47128,-13827631.5406,5368072.8913
584,10462078,UNCLASSIFIED,COOS BAY FIRE DEPARTMENT - EASTSIDE STATION,541-267-6811,365 D STREET, ,COOS BAY,OR,97420,5208,COOS,41011,ON THE NORTH SIDE OF D STREET BETWEEN 4TH AVE AND BARRY ST., , , ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86761950,-124.1959979,43.3648445,NAVTEQ,2007Q2,ONENTITY,NO,TGS,COOS_FIR04A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,aa345782-1805-49e2-a00f-78de949f2555,-13825437.1995,5367671.2881
585,10461851,UNCLASSIFIED,NESTUCCA RURAL FIRE PROTECTION DISTRICT STATION 86 - BLAINE,503-398-5980,32750 UPPER NESTUCCA RIVER ROAD, ,BEAVER,OR,97108, ,TILLAMOOK,41057,S SIDE OF UPPER NESTUCCA RD.0.35 MILE EAST OF THE NF-8598 AND UPPER NESTUCCA RD INTERSECTION., , , ,3/11/2008 12:00:00 AM,PHONE,3/11/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",109793374,-123.6934512,45.2629091,NAVTEQ,2007Q2,ONENTITY,YES,TGS,TILL_FIR15A, ,0,0,0,0,0,0,0, , , , , , ,N, , ,e42db447-ab74-476b-a2d4-394e8857e8f6,-13769494.0241,5663006.9906
586,10144623,UNCLASSIFIED,KNAPPA-SVENSEN-BURNSIDE FIRE DISTRICT - BROWNSMEAD STATION 22B,503-458-6610,94141 BARENDSE ROAD, ,ASTORIA,OR,97103,8403,CLATSOP,41007,"LOCATED ON SOUTHEAST SIDE OF BARENDSE RD, .02 MILE SOUTHWEST OF BROWNSMEAD DIKE RD", , , ,1/10/2007 12:00:00 AM,PHONE,1/10/2007 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,124503926,-123.539887,46.2100809,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,f86f1c82-c088-4060-9c44-a87509abf5e9,-13752399.3598,5814079.4027
587,10142404,UNCLASSIFIED,EVANS VALLEY FIRE DISTRICT 6,541-582-0678,8677 EAST EVANS CREEK ROAD, ,ROGUE RIVER,OR,97537,6660,JACKSON,41029,"LOCATED ON THE NORTH SIDE OF EAST EVANS CREEK ROAD, .11 MILE WEST OF THE INTERSECTION OF COVERED BRIDGE ROAD AND EAST EVANS CREEK ROAD.", , , ,2/5/2007 12:00:00 AM,PHONE,2/5/2007 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",129657690,-123.1517525,42.5389257,NAVTEQ,2007Q2,ONENTITY,YES,TGS, ,00116,0,0,32,0,0,0,1,LOCAL, ,MOSTLY VOLUNTEER, , , , , , ,910c350f-886b-4c2e-b85e-2b2a957e69d5,-13709192.3345,5242053.4128
588,10142402,UNCLASSIFIED,CENTRAL CASCADES FIRE AND EMERGENCY MEDICAL SERVICES,541-433-2800,20400 CRESCENT LAKE HIGHWAY, ,CRESCENT LAKE,OR,97425, ,KLAMATH,41035,"LOCATED ON THE SOUTH SIDE OF CRESANT LAKE HIGHWAY, .26 MILE SOUTHWEST OF THE INTERSECTION OF WILLAMETTE HIGHWAY AND CRESANT LAKE HIGHWAY.", , , ,2/8/2007 12:00:00 AM,PHONE,2/8/2007 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,87464141,-121.9486231,43.526909,NAVTEQ,2007Q2,ONENTITY,YES,TGS, ,00510,0,0,16,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,Y, , ,45a7a417-c5d1-4d20-b2b5-d8569e5f26f6,-13575260.6268,5392520.3035
589,10142407,UNCLASSIFIED,NEW PINE CREEK RURAL FIRE PROTECTION DISTRICT,530-946-4104,UNITED STATES HIGHWAY 395, ,NEW PINE CREEK,OR,97635, ,LAKE,41037,"LOCATED ON THE EAST SIDE OF UNITED STATES HIGHWAY 395, .04 MILE NORTH OF THE INTERSECTION OF STATE LINE LANE AND UNITED STATES HIGHWAY 395.", , , ,2/6/2007 12:00:00 AM,PHONE,2/6/2007 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",124472498,-120.2978392,41.9935823,NAVTEQ,2007Q2,ONENTITY,NO,TGS, ,00258,0,0,12,0,0,0,1,LOCAL, ,VOLUNTEER, , , , , , ,78add685-f7bc-4b91-aa83-42220fb886a1,-13391496.181,5160018.7312
590,10142406,UNCLASSIFIED,MEDICAL SPRINGS RURAL FIRE PROTECTION DISTRICT,541-853-1245,50393 STATE HIGHWAY 203, ,BAKER CITY,OR,97814, ,UNION,41061,"LOCATED ON THE EAST SIDE OF STATE HIGHWAY 203,DIRECTLY ACROSS THE ROAD FROM THE T INTERSECTION OF TELOCASET LANE AND STATE HIGHWAY 203.", , , ,5/7/2008 12:00:00 AM,PHONE,5/7/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",109787375,-117.6450481,45.0113971,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, ,00536,0,0,16,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,N, , ,518edeca-f75d-42cb-bbcc-99914b0552c3,-13096188.9541,5623316.4811
591,10139445,UNCLASSIFIED,LAKE CREEK FIRE AND RESCUE,541-925-3064,20451 STATE HIGHWAY 36, ,BLACHLY,OR,97412, ,LANE,41039,"LOCATED ON THE NORTH SIDE OF STATE HIGHWAY 36, APPROX. 506 FT WEST OF POPE ROAD.", , , ,3/19/2008 12:00:00 AM,PHONE,3/18/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",87814937,-123.5346267,44.1950181,NAVTEQ,2007Q2,ONENTITY,NO,TGS, ,00453,0,0,16,0,0,0,1,LOCAL, ,MOSTLY VOLUNTEER, , , ,N, , ,606b4d33-13d0-4329-ba69-4b3f462ac2ee,-13751813.7275,5495671.9297
592,10139456,UNCLASSIFIED,CLACKAMAS FIRE DISTRICT 1 STATION 5,503-742-2605,9339 SOUTHEAST CAUSEY AVENUE, ,CLACKAMAS,OR,97086, ,CLACKAMAS,41005,LOCATED ON THE NORTH SIDE OF SOUTHEAST CAUSEY AVENUE BETWEEN SOUTHEAST BOB SCHUMACHER ROAD AND SOUTHEAST STEVENS ROAD., , , ,3/13/2008 12:00:00 AM,PHONE,3/26/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,112405697,-122.5667417,45.4419503,NAVTEQ,2007Q2,ONENTITY,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,05ab510e-9d72-4443-9901-26cbb4b61e74,-13644069.3195,5691368.4004
593,10470682,UNCLASSIFIED,KENO RURAL FIRE PROTECTION DISTRICT STATION 4,541-883-3062,7900 DEAD INDIAN MEMORIAL ROAD, ,ASHLAND,OR,97520, ,JACKSON,41029,"SE SIDE OF CR-722, 0.22 MILES SE OF COVE RD", , , ,3/14/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,129656653,-122.5658889,42.2390141,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,eb42c94d-7f94-4c25-804a-4ad43a55d6ac,-13643974.2896,5196850.6442
594,10470680,UNCLASSIFIED,ASHLAND FIRE AND RESCUE STATION 2,541-488-1478,1600 ASHLAND STREET, ,ASHLAND,OR,97520,2327,JACKSON,41029,SOUTH SIDE OF OR 66 BETWEEN SHERWOOD ST AND PARK ST, , , ,3/14/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,FIRE AND RESCUE SERVICE,129659237,-122.6816855,42.1850944,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,e5db2de4-1d63-4c93-8141-068d9e94c78a,-13656864.7073,5188746.6711
595,10470678,UNCLASSIFIED,BREITENBUSH FIRE DEPARTMENT,360-385-2308,5300 BREITENBUSH ROAD SOUTHEAST, ,IDANHA,OR,97350, ,MARION,41047,LOCATED ON THE SOUTH SIDE OF BREITENBUSH ROAD SOUTHEAST BETWEEN NATIONAL FOREST ROAD 4688 AND NATIONAL FOREST ROAD 030., , , ,3/14/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,121268400,-121.9722448,44.7862813,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,3a6584a9-dc2c-445d-b484-cb5ed81f6423,-13577890.2134,5587938.8694
596,10470676,UNCLASSIFIED,CHILOQUIN AGENCY - LAKE FIRE DISTRICT STATION 3,541-783-3860,9201 SPRAGUE RIVER ROAD, ,CHILOQUIN,OR,97624,9694,KLAMATH,41035,"NW SIDE OF SPRAGUE RIVER RD, 1.14 MI NW OF NINE ML RD", , , ,3/14/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",121074689,-121.736188,42.5809156,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,ec3be0a9-a4e0-4c77-a337-ab7b572d27dd,-13551612.4302,5248399.474
597,10470673,UNCLASSIFIED,MILTON FREEWATER RURAL FIRE PROTECTION DISTRICT - UMAPINE STATION,541-938-7146,51582 UMAPINE HIGHWAY, ,MILTON FREEWATER,OR,97862, ,UMATILLA,41059,SOUTHEAST CORNER OF RINGER RD AND UMAPINE HWY., , , ,3/14/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,87458202,-118.4963418,45.9763615,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,c19d1ae6-7b01-44ce-aea5-b5f7915511ad,-13190954.5534,5776562.4903
598,10470665,UNCLASSIFIED,HERMISTON FIRE AND EMERGENCY SERVICES STATION 3,541-567-8822,78760 WESTLAND ROAD, ,HERMISTON,OR,97838,6125,UMATILLA,41059,NW SIDE OF WESTLAND RD. 0.26 MILE NE OF THE AGNEW RD AND WESTLAND RD INTERSECTION., , , ,3/14/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,92592587,-119.3494085,45.8240514,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,f172dc1a-bbe5-4f59-a73b-a974ea269112,-13285917.4897,5752198.5555
599,10470278,UNCLASSIFIED,GARIBALDI RURAL FIRE DISTRICT,503-322-3555,ELK TRAIL DRIVE, ,NEHALEM,OR,97131, ,TILLAMOOK,41057,NW SIDE OF ELK TRAIL DR.293 FT NE OF THE INTERSECTION OF COHO WAY AND ELK TRAIL DR., , , ,3/11/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",120807657,-123.8506596,45.6525095,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,3970a599-3ef4-4de8-97a9-978a65e8526a,-13786994.3817,5724837.8553
600,10470272,UNCLASSIFIED,JACKSON COUNTY FIRE DISTRICT 3 SAMS VALLEY STATION,541-826-7100,3333 TRESHAM LANE, ,CENTRAL POINT,OR,97502,9353,JACKSON,41029,SOUTH SIDE OF TRESHAM LN ACROSS FROM THE TRESHAM LN DUGGAN RD T INTERSECTION, , , ,3/11/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,92549493,-122.9542462,42.4762791,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,2ed6479a-064e-4d2e-9756-07e382ccbf1c,-13687206.0312,5232593.4302
601,10470270,UNCLASSIFIED,JACKSON COUNTY FIRE DISTRICT 3 EAGLE POINT STATION,541-826-7100,213 LOTO STREET, ,EAGLE POINT,OR,97524, ,JACKSON,41029,WEST CORNER OF PLATT AVE S AND LOTO ST, , , ,3/11/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,92549441,-122.8047745,42.4722797,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,ffe3468a-8193-4b42-90d0-fbcc0e0bbdaa,-13670566.9225,5231989.8346
602,10470257,UNCLASSIFIED,HAINES FIRE PROTECTION DISTRICT - COLE ROAD,541-856-3366,1818 COLE STREET, ,HAINES,OR,97833, ,BAKER,41001,LOCATED ON NORTHEAST SIDE OF COLE ST. BETWEEN 3RD STREET AND 4TH STREET, , , ,3/26/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",86517045,-117.9373808,44.9128163,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,e3941cff-2cb9-421a-b0ae-a4fe05980f16,-13128731.2681,5607807.2012
603,10470251,UNCLASSIFIED,BOARDMAN RURAL FIRE PROTECTION DISTRICT STATION 3,541-481-3473,THREE MILE CANYON ROAD, ,BOARDMAN,OR,97818, ,MORROW,41049,FROM THE INTERSECTION OF SIMTAG LN AND THREE MILE CANYON ROAD TRAVEL SOUTH ON THREE MILE CANYON RD APPROXIMATELY 1.35 MILE ON THE WEST SIDE OF THREE MILE CANYON RD, , , ,3/11/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",86408636,-119.9372329,45.7543865,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,cb31b833-148e-44a3-8023-900ee7ca5bda,-13351353.7884,5741076.9835
604,10470403,UNCLASSIFIED,ILLINOIS VALLEY FIRE DISTRICT STATION 4,541-592-2225,5465 HOLLAND LOOP ROAD, ,CAVE JUNCTION,OR,97523,9725,JOSEPHINE,41033,"SOUTH SIDE OF HOLLAND LOOP RD, 0.23 MILES WEST OF OAK LN", , , ,3/13/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,121584684,-123.5722748,42.1251661,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,ba278b79-4669-4e8d-9d0f-3fd7b636eddd,-13756004.6394,5179747.7246
605,10470387,UNCLASSIFIED,PHILOMATH FIRE AND RESCUE STATION 203,541-753-6022,25770 LLEWELLYN ROAD, ,CORVALLIS,OR,97333,9506,BENTON,41003,ON SOUTH SIDE OF LLEWELLYN ROAD 0.60 MILES WEST OF BELLFOUNTAIN ROAD., , , ,3/12/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,FIRE AND RESCUE SERVICE,86608494,-123.3488597,44.4726941,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,f0a6f31c-c674-413c-b8af-a8c63db9dcd2,-13731134.2474,5538886.9505
606,10471224,UNCLASSIFIED,UNITED STATES FOREST SERVICE - NORTH UMPQUA RANGER DISTRICT,541-496-3532,18782 NORTH UMPQUA HIGHWAY, ,GLIDE,OR,97443,9710,DOUGLAS,41019,LOC ON THE NW SIDE OF N UMPQUA HIGHWAY BETWEEN BROWN ST AND ALEXANDER RD., , , ,3/18/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,115310,"FIREFIGHTING, FOREST",109778121,-123.0985831,43.2983872,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,0bfded38-d980-4b19-8415-52f7f28b6238,-13703273.5643,5357500.7693
607,10479636,UNCLASSIFIED,UNITED STATES FOREST SERVICE - MCKENZIE RIVER RANGER DISTRICT,541-822-3381,57600 MCKENZIE HIGHWAY, ,MCKENZIE BRIDGE,OR,97413,9612,LANE,41039,"LOC ON THE SOUTHWEST SIDE OF MCKENZIE HIGHWAY, .20 MILES WEST OF FOLEY RIDGE RD.", , , ,4/8/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,115310,"FIREFIGHTING, FOREST",121634156,-122.1164812,44.1796546,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,387595e1-d150-4948-a1a4-0c1f39e0beba,-13593946.5191,5493286.8794
608,10470815,UNCLASSIFIED,UNITED STATES FOREST SERVICE - RAGER RANGER STATION,541-477-6900,7803 BEAVER CREEK ROAD, ,PAULINA,OR,97751,9727,CROOK,41013,"LOCATED ON THE WEST SIDE OF THE INTERSECTION OF BULL SPRINGS ROAD, BEAVER CREEK ROAD, AND RAGER ROAD", , , ,3/17/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,115310,"FIREFIGHTING, FOREST",87449969,-119.826255,44.2293443,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,fee40b1d-c563-4c9a-b738-993955f0dacc,-13338999.7396,5501003.1573
609,10471223,UNCLASSIFIED,UNITED STATES FOREST SERVICE - NORTH UMPQUA RANGER DISTRCT - STEAMBOAT WORKSTATION,541-496-3532,1323 STEELHEAD CADDIS ROAD, ,IDLEYLD PARK,OR,97447,9718,DOUGLAS,41019,FROM THE INT OF OR-138 AND STEEHEAD CADDIS ROAD TRAVEL SW LESS THAN A TENTH OF A MILE TO A FORK FOLLOW THE NW FORK LESS THAN A TENTH OF A MILE ENTITY IS ON THE NE SIDE OF STEELHEAD CADDIS RD, , , ,3/20/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,115310,"FIREFIGHTING, FOREST",86765873,-122.7361813,43.3434726,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,1e5ddcb4-df76-449e-98fe-93740f17f75c,-13662931.1876,5364399.3719
610,10139443,UNCLASSIFIED,WESTSIDE RURAL FIRE DEPARTMENT,541-947-2504,15547 WESTSIDE ROAD, ,LAKEVIEW,OR,97630,8024,LAKE,41037,"LOCATED ON THE WEST SIDE OF WESTSIDE ROAD, APPROX. 344 FT SOUTH OF STRUCK ROAD.", , , ,3/13/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",121580311,-120.4937983,42.1123864,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,927e8a45-729c-469c-ba3e-b77a1143f150,-13413310.2506,5177829.8628
611,10479810,UNCLASSIFIED,UNITED STATES FOREST SERVICE - APPLEGATE RANGER DISTRICT,541-899-3800,6941 UPPER APPLEGATE ROAD, ,JACKSONVILLE,OR,97530,8975,JACKSON,41029,"ON THE SOUTHEAST SIDE OF UPPER APPLEGATE RD, LESS THEN .1 MILE SOUTHWEST OF STAR GULCH RD.", , , ,4/9/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,115310,"FIREFIGHTING, FOREST",112417129,-123.0573992,42.150975,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,765cc0f1-ebf8-468a-a9ab-83b10a486b4e,-13698688.9557,5183622.2
612,10479638,UNCLASSIFIED,OREGON STATE FORESTRY DISTRICT - HEADQUARTERS,541-416-6800,3501 NORTHEAST 3RD STREET, ,PRINEVILLE,OR,97754,8101,CROOK,41013,LOCATED APPROXIMATELY 0.1 MI NORTHEAST OF INTERSECTION OF NE LAUGHLIN RD AND NE 3RD ST ON THE NORTH SIDE OF 3RD ST., , , ,4/8/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,115310,"FIREFIGHTING, FOREST",129643781,-120.8075255,44.3040012,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,3e542cf1-3508-4a18-a6d2-d495edd9cac9,-13448234.2608,5512608.7634
613,10479627,UNCLASSIFIED,OREGON OUTBACK RURAL FIRE PROTECTION DISTRICT,541-536-0209,MOBILE UNIT, ,LA PINE,OR,97739, ,DESCHUTES,41017,"*MOBILE UNIT, REPRESENTED AT TOWN HALL OR CENTER OF SERVICE AREA*", , , ,4/8/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,129639372,-121.507538,43.6652277,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, ,00551,0,0,31,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,Y, , ,ff07aaa7-78af-4db4-8be5-0f2a73b83c71,-13526159.2701,5413781.2456
614,10479624,UNCLASSIFIED,CRESCENT RURAL FIRE PROTECTION DISTRICT STATION 2,541-433-2466,HACKETT DRIVE, ,LA PINE,OR,97739, ,KLAMATH,41035,"NE SIDE OF HACKETT DR, BETWEEN AHERN DR AND US-97", , , ,4/8/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,86736672,-121.5859664,43.5711057,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,5b1bb4b2-04a1-40ed-ac41-7d3686c7446a,-13534889.8727,5399308.4551
615,10479623,UNCLASSIFIED,OREGON DEPARTMENT OF FORESTRY,541-416-6800,114 WEST WASHINGTON AVENUE, ,SISTERS,OR,97759, ,DESCHUTES,41017,ON NORTH SIDE OF W WASHINGTON AVE BETWEEN S ELM ST AND S ASH ST, , , ,4/8/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,115310,"FIREFIGHTING, FOREST",89854516,-121.5503932,44.2898802,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,e3a6cce3-0b51-4689-a16a-5e50eb8c2c75,-13530929.898,5510412.4614
616,10479605,UNCLASSIFIED,UNITED STATES FOREST SERVICE - DUFUR RANGER STATION,541-467-2291,780 NORTHEAST COURT STREET, ,DUFUR,OR,97021,3033,WASCO,41065,LOC ON THE EAST SIDE OF COURT ST BETWEEN NE 7TH ST AND TOLL RD., , , ,4/8/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,115310,"FIREFIGHTING, FOREST",121569418,-121.1252992,45.4565426,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,e10e72f9-9f8f-49e9-b142-119aa87205d6,-13483608.695,5693683.9188
617,10479830,UNCLASSIFIED,CHEMULT RURAL FIRE PROTECTION DISTRICT STATION 1 - HEADQUARTERS,541-365-2235,109800 UNITED STATES HIGHWAY 97, ,CHEMULT,OR,97731, ,KLAMATH,41035,"SW SIDE OF US-97, .18 MILES NW OF 3RD ST", , , ,4/9/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,129638646,-121.7852097,43.2198196,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,548406bd-2748-44ba-bac7-14e68807068f,-13557069.5223,5345491.2369
